"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"ANT261","NKI24_mx1400","A","N","N","N","C","L",24,2,47,201,0.764822134387352
"ANT81","NKI24_mx1400","A","N","N","N","D","N",24,2,47,71,0.741600790513834
"ANT163","NKI24_mx1400","A","N","N","N","D","P",24,2,47,71,0.885375494071146
"ANT262","NKI24_mx1400","A","N","N","N","D","L",24,2,47,71,0.705533596837945
"ANT82","NKI24_mx1400","A","N","N","N","H","N",24,2,47,112,0.808300395256917
"ANT164","NKI24_mx1400","A","N","N","N","H","P",24,2,47,112,0.908596837944664
"ANT263","NKI24_mx1400","A","N","N","N","H","L",24,2,47,112,0.811758893280632
"FSL51","NKI24_mx1400","F","F","S","G","A","N",24,2,47,117,0.87203557312253
"FSL133","NKI24_mx1400","F","F","S","G","A","P",24,2,47,117,0.885869565217391
"FSL232","NKI24_mx1400","F","F","S","G","A","L",24,2,47,117,0.888339920948617
"FSL52","NKI24_mx1400","F","F","S","G","C","N",24,2,47,201,0.889328063241107
"FSL134","NKI24_mx1400","F","F","S","G","C","P",24,2,47,201,0.91600790513834
"FSL233","NKI24_mx1400","F","F","S","G","C","L",24,2,47,201,0.888339920948617
"FSL53","NKI24_mx1400","F","F","S","G","D","N",24,2,47,71,0.870553359683794
"FSL135","NKI24_mx1400","F","F","S","G","D","P",24,2,47,71,0.885869565217391
"FSL234","NKI24_mx1400","F","F","S","G","D","L",24,2,47,71,0.838438735177866
"FSL54","NKI24_mx1400","F","F","S","G","H","N",24,2,47,112,0.864624505928854
"FSL136","NKI24_mx1400","F","F","S","G","H","P",24,2,47,112,0.868083003952569
"FSL235","NKI24_mx1400","F","F","S","G","H","L",24,2,47,112,0.797430830039526
"FSL55","NKI24_mx1400","F","F","S","N","A","N",24,2,47,117,0.785573122529644
"FSL137","NKI24_mx1400","F","F","S","N","A","P",24,2,47,117,0.860177865612648
"FSL236","NKI24_mx1400","F","F","S","N","A","L",24,2,47,117,0.728260869565217
"FSL56","NKI24_mx1400","F","F","S","N","C","N",24,2,47,201,0.804841897233202
"FSL138","NKI24_mx1400","F","F","S","N","C","P",24,2,47,201,0.872529644268775
"FSL237","NKI24_mx1400","F","F","S","N","C","L",24,2,47,201,0.732707509881423
"FSL57","NKI24_mx1400","F","F","S","N","D","N",24,2,47,71,0.716897233201581
"FSL139","NKI24_mx1400","F","F","S","N","D","P",24,2,47,71,0.854743083003953
"FSL238","NKI24_mx1400","F","F","S","N","D","L",24,2,47,71,0.673418972332016
"FSL58","NKI24_mx1400","F","F","S","N","H","N",24,2,47,112,0.779150197628458
"FSL140","NKI24_mx1400","F","F","S","N","H","P",24,2,47,112,0.846343873517787
"FSL239","NKI24_mx1400","F","F","S","N","H","L",24,2,47,112,0.727766798418972
"FSL59","NKI24_mx1400","F","F","N","G","A","N",24,2,47,117,0.939723320158103
"FSL141","NKI24_mx1400","F","F","N","G","A","P",24,2,47,117,0.941699604743083
"FSL240","NKI24_mx1400","F","F","N","G","A","L",24,2,47,117,0.948616600790514
"FSL60","NKI24_mx1400","F","F","N","G","C","N",24,2,47,201,0.959486166007905
"FSL142","NKI24_mx1400","F","F","N","G","C","P",24,2,47,201,0.972332015810277
"FSL241","NKI24_mx1400","F","F","N","G","C","L",24,2,47,201,0.974308300395257
"FSL61","NKI24_mx1400","F","F","N","G","D","N",24,2,47,71,0.909090909090909
"FSL143","NKI24_mx1400","F","F","N","G","D","P",24,2,47,71,0.899703557312253
"FSL242","NKI24_mx1400","F","F","N","G","D","L",24,2,47,71,0.888833992094862
"FSL62","NKI24_mx1400","F","F","N","G","H","N",24,2,47,112,0.923913043478261
"FSL144","NKI24_mx1400","F","F","N","G","H","P",24,2,47,112,0.921442687747036
"FSL243","NKI24_mx1400","F","F","N","G","H","L",24,2,47,112,0.845849802371542
"FSL63","NKI24_mx1400","F","F","N","N","A","N",24,2,47,117,0.809782608695652
"FSL145","NKI24_mx1400","F","F","N","N","A","P",24,2,47,117,0.907608695652174
"FSL244","NKI24_mx1400","F","F","N","N","A","L",24,2,47,117,0.75296442687747
"FSL64","NKI24_mx1400","F","F","N","N","C","N",24,2,47,201,0.816699604743083
"FSL146","NKI24_mx1400","F","F","N","N","C","P",24,2,47,201,0.927865612648221
